w_zip,h_zip,SE01,SE02,SE03,total
10002,11423,6,12,11,29
10002,11426,7,5,13,25
10002,11427,9,9,20,38
10002,11428,6,6,6,18
10002,11429,5,11,17,33
10002,11432,26,29,28,83
10002,11433,3,14,19,36
10002,11434,7,27,26,60
10002,11435,17,22,29,68
10002,11436,5,9,8,22
10002,11691,24,17,20,61
10002,11692,10,13,19,42
10002,11693,6,10,9,25
10002,11694,2,14,16,32
10002,11697,0,3,6,9
10003,10001,62,49,221,332
10003,10002,267,276,479,1022
10003,10003,411,331,1196,1938
10003,10004,17,16,47,80
10003,10005,12,28,75,115
10003,10006,9,9,37,55
10003,10007,10,9,67,86
10003,10009,319,298,830,1447
10003,10010,83,74,501,658
10003,10011,144,153,617,914
10003,10012,83,63,607,753
10003,10013,74,45,244,363
10003,10014,101,107,364,572
10003,10016,123,102,623,848
10003,10017,30,25,153,208
10003,10018,22,18,64,104
10003,10019,87,93,391,571
10003,10021,55,63,344,462
10003,10022,60,46,223,329
10003,10023,120,77,399,596
10003,10024,116,101,412,629
10003,10025,201,207,538,946
10003,10026,121,138,248,507
10003,10027,185,190,285,660
10003,10028,91,68,367,526
10003,10029,190,309,320,819
10003,10030,104,113,140,357
10003,10031,175,222,272,669
10003,10032,181,211,239,631
10003,10033,141,178,218,537
10003,10034,93,132,140,365
10003,10035,96,131,122,349
10003,10036,82,65,222,369
10003,10037,53,82,104,239
10003,10038,72,46,196,314
10003,10039,74,106,109,289
10003,10040,108,122,168,398
10003,10044,16,10,41,67
10003,10065,49,42,242,333
10003,10069,14,8,38,60
10003,10075,47,42,214,303
10003,10119,1,0,0,1
10003,10128,102,122,493,717
10003,10162,4,5,18,27
10003,10280,23,11,88,122
10003,10282,2,4,30,36
10003,10301,63,35,185,283
10003,10302,22,30,61,113
10003,10303,27,29,91,147
10003,10304,44,54,135,233
10003,10305,33,42,191,266
10003,10306,25,46,207,278
10003,10307,4,6,29,39
10003,10308,14,9,71,94
10003,10309,12,18,101,131
10003,10310,22,32,119,173
10003,10312,30,38,183,251
10003,10314,73,85,295,453
10003,10451,99,138,113,350
10003,10452,134,221,150,505
10003,10453,137,239,120,496
10003,10454,83,125,72,280
10003,10455,75,121,103,299
10003,10456,182,281,152,615
10003,10457,104,201,106,411
10003,10458,123,169,131,423
10003,10459,72,146,93,311
10003,10460,90,151,121,362
10003,10461,44,94,162,300
10003,10462,101,131,221,453
10003,10463,55,107,166,328
10003,10464,3,13,15,31
10003,10465,40,57,141,238
10003,10466,59,111,106,276
10003,10467,103,181,152,436
10003,10468,89,170,140,399
10003,10469,74,98,127,299
10003,10470,15,32,31,78
10003,10471,30,33,64,127
10003,10472,109,168,118,395
10003,10473,81,108,177,366
10003,10474,18,37,15,70
10003,10475,38,60,133,231
10003,11001,3,1,12,16
10003,11004,9,15,38,62
10003,11005,0,1,2,3
10003,11040,0,0,5,5
10003,11101,103,83,235,421
10003,11102,99,141,262,502
10003,11103,109,126,298,533
10003,11104,80,83,191,354
10003,11105,137,141,321,599
10003,11106,90,133,295,518
10003,11109,19,5,52,76
10003,11201,189,122,675,986
10003,11203,151,188,297,636
10003,11204,90,97,192,379
10003,11205,99,96,291,486
10003,11206,247,278,449,974
10003,11207,168,284,316,768
10003,11208,171,214,202,587
10003,11209,137,115,437,689
10003,11210,103,136,250,489
10003,11211,208,257,861,1326
10003,11212,123,188,203,514
10003,11213,137,163,270,570
10003,11214,130,137,260,527
10003,11215,163,176,788,1127
10003,11216,172,216,457,845
10003,11217,91,94,393,578
10003,11218,115,147,359,621
10003,11219,83,98,111,292
10003,11220,169,188,299,656
10003,11221,250,328,438,1016
10003,11222,115,106,404,625
10003,11223,86,91,207,384
10003,11224,34,51,105,190
10003,11225,143,199,416,758
10003,11226,239,328,488,1055
10003,11228,76,64,180,320
10003,11229,93,118,294,505
10003,11230,124,115,292,531
10003,11231,75,80,352,507
10003,11232,65,66,124,255
10003,11233,190,247,285,722
10003,11234,116,163,431,710
10003,11235,58,86,239,383
10003,11236,131,179,335,645
10003,11237,156,215,323,694
10003,11238,157,164,669,990
10003,11239,27,31,46,104
10003,11354,87,97,123,307
10003,11355,177,130,153,460
10003,11356,23,33,74,130
10003,11357,41,42,146,229
10003,11358,51,41,108,200
10003,11359,1,2,0,3
10003,11360,10,13,55,78
10003,11361,26,21,70,117
10003,11362,17,14,42,73
10003,11363,2,2,13,17
10003,11364,32,26,81,139
10003,11365,47,35,94,176
10003,11366,14,6,43,63
10003,11367,38,42,99,179
10003,11368,148,228,164,540
10003,11369,36,105,115,256
10003,11370,32,59,98,189
10003,11371,0,1,0,1
10003,11372,119,185,312,616
10003,11373,249,352,309,910
10003,11374,77,69,239,385
10003,11375,138,113,459,710
10003,11377,191,319,379,889
10003,11378,63,95,129,287
10003,11379,53,79,186,318
10003,11385,237,314,470,1021
10003,11411,25,36,69,130
10003,11412,30,35,61,126
10003,11413,51,46,96,193
10003,11414,21,27,85,133
10003,11415,34,49,105,188
10003,11416,38,52,69,159
10003,11417,54,64,90,208
10003,11418,58,82,96,236
10003,11419,53,78,104,235
10003,11420,57,59,133,249
10003,11421,79,92,123,294
10003,11422,34,32,102,168
10003,11423,23,44,60,127
10003,11426,23,12,44,79
10003,11427,24,22,53,99
10003,11428,13,29,47,89
10003,11429,21,47,68,136
10003,11430,0,3,1,4
10003,11432,72,69,138,279
10003,11433,28,35,48,111
10003,11434,36,65,105,206
10003,11435,49,76,163,288
10003,11436,13,14,27,54
10003,11691,48,65,73,186
10003,11692,19,31,32,82
10003,11693,12,13,36,61
10003,11694,28,20,56,104
10003,11697,3,4,16,23
10004,10001,15,31,158,204
10004,10002,131,199,359,689
10004,10003,33,40,442,515
10004,10004,13,11,159,183
10004,10005,7,16,255,278
10004,10006,5,4,79,88
10004,10007,1,7,89,97
10004,10009,53,100,436,589
10004,10010,15,33,269,317
10004,10011,20,50,444,514
10004,10012,13,23,189,225
10004,10013,15,42,216,273
10004,10014,18,20,266,304
10004,10016,12,32,479,523
10004,10017,10,8,180,198
10004,10018,13,11,69,93
10004,10019,21,57,355,433
10004,10021,23,23,304,350
10004,10022,12,23,274,309
10004,10023,28,31,438,497
10004,10024,27,40,367,434
10004,10025,71,89,519,679
10004,10026,41,72,164,277
10004,10027,85,91,161,337
10004,10028,20,26,388,434
10004,10029,100,156,208,464
10004,10030,30,66,79,175
10004,10031,86,156,174,416
10004,10032,81,156,126,363
10004,10033,62,118,134,314
10004,10034,48,106,101,255
10004,10035,62,83,86,231
10004,10036,15,50,199,264
10004,10037,26,27,74,127
10004,10038,16,31,276,323
10004,10039,22,49,55,126
10004,10040,60,116,118,294
10004,10044,1,8,38,47
10004,10065,12,17,179,208
10004,10069,7,4,53,64
10004,10075,5,13,198,216
10004,10103,0,0,1,1
10004,10119,0,0,1,1
10004,10128,23,34,473,530
10004,10162,1,1,12,14
10004,10280,6,13,197,216
10004,10282,2,2,50,54
10004,10301,39,81,204,324
10004,10302,14,22,74,110
10004,10303,26,45,81,152
10004,10304,32,103,186,321
10004,10305,27,68,224,319
10004,10306,32,67,317,416
10004,10307,4,19,69,92
10004,10308,13,31,204,248
10004,10309,19,35,182,236
10004,10310,24,34,95,153
10004,10312,24,60,329,413
10004,10314,48,107,418,573
10004,10451,54,115,71,240
10004,10452,101,237,91,429
10004,10453,125,210,93,428
10004,10454,43,102,38,183
10004,10455,56,104,48,208
10004,10456,130,229,109,468
10004,10457,111,175,77,363
10004,10458,74,131,65,270
10004,10459,61,93,48,202
10004,10460,66,118,68,252
10004,10461,26,44,103,173
10004,10462,59,104,154,317
10004,10463,53,62,142,257
10004,10464,1,2,10,13
10004,10465,23,37,97,157
10004,10466,47,70,86,203
10004,10467,62,134,124,320
10004,10468,72,112,110,294
10004,10469,46,68,94,208
10004,10470,10,21,25,56
10004,10471,13,21,47,81
10004,10472,69,141,76,286
10004,10473,48,86,121,255
10004,10474,11,23,16,50
10004,10475,21,54,98,173
10004,11001,0,2,21,23
10004,11004,8,7,32,47
10004,11005,1,0,11,12
10004,11040,0,1,5,6
10004,11101,21,42,174,237
10004,11102,30,43,185,258
10004,11103,27,51,195,273
10004,11104,7,28,134,169
10004,11105,17,38,200,255
10004,11106,29,34,225,288
10004,11109,3,3,62,68
10004,11201,53,63,760,876
10004,11203,84,162,199,445
10004,11204,69,132,175,376
10004,11205,27,61,206,294
10004,11206,59,168,255,482
10004,11207,110,215,200,525
10004,11208,110,193,156,459
10004,11209,49,87,496,632
10004,11210,47,107,208,362
10004,11211,47,72,559,678
10004,11212,106,242,129,477
10004,11213,62,134,217,413
10004,11214,71,197,313,581
10004,11215,26,62,722,810
10004,11216,56,100,355,511
10004,11217,27,79,356,462
10004,11218,49,104,276,429
10004,11219,44,108,130,282
10004,11220,62,165,217,444
10004,11221,69,151,337,557
10004,11222,21,39,256,316
10004,11223,46,159,253,458
10004,11224,59,116,101,276
10004,11225,59,130,304,493
10004,11226,136,235,314,685
10004,11228,47,71,181,299
10004,11229,73,133,319,525
10004,11230,52,126,273,451
10004,11231,18,45,230,293
10004,11232,18,49,85,152
10004,11233,63,134,214,411
10004,11234,67,134,364,565
10004,11235,74,143,278,495
10004,11236,82,175,214,471
10004,11237,31,81,144,256
10004,11238,39,71,442,552
10004,11239,10,21,34,65
10004,11354,38,39,133,210
10004,11355,32,81,154,267
10004,11356,6,15,58,79
10004,11357,14,19,136,169
10004,11358,9,31,88,128
10004,11359,1,0,1,2
10004,11360,10,8,61,79
10004,11361,6,13,67,86
10004,11362,2,8,44,54
10004,11363,2,6,21,29
10004,11364,8,17,89,114
10004,11365,18,29,111,158
10004,11366,2,10,45,57
10004,11367,18,33,90,141
10004,11368,59,154,130,343
10004,11369,26,55,82,163
10004,11370,16,33,54,103
10004,11371,0,0,1,1
10004,11372,44,82,200,326
10004,11373,72,123,204,399
10004,11374,19,53,209,281
10004,11375,20,61,423,504
10004,11377,48,121,245,414
10004,11378,13,39,107,159
10004,11379,11,25,173,209
10004,11385,43,138,370,551
10004,11411,8,17,53,78
10004,11412,27,35,80,142
10004,11413,26,45,106,177
10004,11414,14,18,122,154
10004,11415,12,23,90,125
10004,11416,16,45,85,146
10004,11417,8,44,79,131
10004,11418,19,45,81,145
10004,11419,19,55,97,171
10004,11420,22,63,133,218
10004,11421,31,69,123,223
10004,11422,20,42,82,144
10004,11423,18,30,96,144
10004,11426,3,8,54,65
10004,11427,7,15,63,85
10004,11428,9,20,48,77
10004,11429,5,29,49,83
10004,11430,2,0,1,3
10004,11432,47,72,120,239
10004,11433,25,41,46,112
10004,11434,28,75,131,234
10004,11435,36,65,107,208
10004,11436,6,19,31,56
10004,11691,21,62,69,152
10004,11692,12,24,24,60
10004,11693,6,18,47,71
10004,11694,5,10,68,83
10004,11697,1,6,21,28
10005,10001,12,18,109,139
10005,10002,49,77,266,392
10005,10003,19,21,288,328
10005,10004,4,7,105,116
10005,10005,18,21,234,273
10005,10006,0,4,71,75
10005,10007,5,1,60,66
10005,10009,33,34,297,364
10005,10010,9,15,183,207
10005,10011,24,32,364,420
10005,10012,14,9,100,123
10005,10013,9,12,145,166
10005,10014,6,21,204,231
10005,10016,20,34,335,389
10005,10017,10,7,104,121
10005,10018,4,2,42,48
10005,10019,30,26,237,293
10005,10021,10,19,173,202
10005,10022,12,13,190,215
10005,10023,20,18,318,356
10005,10024,21,24,258,303
10005,10025,37,64,350,451
10005,10026,18,29,104,151
10005,10027,35,36,145,216
10005,10028,25,15,228,268
10005,10029,63,55,167,285
10005,10030,22,46,53,121
10005,10031,47,56,129,232
10005,10032,45,43,74,162
10005,10033,42,40,79,161
10005,10034,29,34,86,149
10005,10035,22,27,67,116
10005,10036,13,20,151,184
10005,10037,9,12,54,75
10005,10038,23,23,286,332
10005,10039,20,30,40,90
10005,10040,22,40,58,120
10005,10044,3,19,35,57
10005,10065,10,13,159,182
10005,10069,2,1,34,37
10005,10075,4,9,123,136
10005,10119,0,0,2,2
10005,10128,21,23,321,365
10005,10162,0,0,13,13
10005,10280,3,2,130,135
10005,10282,2,0,26,28
10005,10301,24,29,113,166
10005,10302,23,5,48,76
10005,10303,34,19,61,114
10005,10304,36,33,130,199
10005,10305,32,40,112,184
10005,10306,36,56,233,325
10005,10307,6,11,36,53
10005,10308,10,21,113,144
10005,10309,10,14,109,133
10005,10310,17,20,70,107
10005,10312,27,34,249,310
10005,10314,43,57,269,369
10005,10451,32,46,60,138
10005,10452,72,93,69,234
10005,10453,61,86,56,203
10005,10454,37,45,39,121
10005,10455,41,43,30,114
10005,10456,74,91,48,213
10005,10457,77,71,37,185
10005,10458,47,63,43,153
10005,10459,33,41,43,117
10005,10460,49,66,37,152
10005,10461,24,31,79,134
10005,10462,43,68,98,209
10005,10463,30,37,104,171
10005,10464,2,2,6,10
10005,10465,13,7,69,89
10005,10466,33,57,44,134
10005,10467,54,73,59,186
10005,10468,49,48,72,169
10005,10469,31,66,48,145
10005,10470,9,7,13,29
10005,10471,8,12,38,58
10005,10472,41,50,49,140
10005,10473,32,61,70,163
10005,10474,4,3,7,14
10005,10475,19,45,52,116
10005,11001,1,2,15,18
10005,11004,4,5,29,38
10005,11005,1,0,0,1
10005,11040,2,1,2,5
10005,11101,15,27,118,160
10005,11102,16,24,112,152
10005,11103,14,31,116,161
10005,11104,12,19,117,148
10005,11105,18,30,134,182
10005,11106,23,37,135,195
10005,11109,1,1,42,44
10005,11201,30,35,559,624
10005,11203,75,102,133,310
10005,11204,19,51,146,216
10005,11205,18,35,146,199
10005,11206,69,80,165,314
10005,11207,74,95,105,274
10005,11208,70,98,93,261
10005,11209,38,46,327,411
10005,11210,45,65,127,237
10005,11211,59,59,329,447
10005,11212,83,109,84,276
10005,11213,53,105,133,291
10005,11214,30,71,205,306
10005,11215,16,34,399,449
10005,11216,29,63,202,294
10005,11217,25,31,267,323
10005,11218,28,51,190,269
10005,11219,39,44,60,143
10005,11220,38,53,126,217
10005,11221,60,75,200,335
10005,11222,12,25,175,212
10005,11223,19,83,124,226
10005,11224,44,103,59,206
10005,11225,52,66,188,306
10005,11226,70,129,199,398
10005,11228,16,19,121,156
10005,11229,36,88,199,323
10005,11230,30,62,200,292
10005,11231,4,20,186,210
10005,11232,15,17,75,107
10005,11233,48,69,125,242
10005,11234,59,89,261,409
10005,11235,55,110,203,368
10005,11236,50,96,159,305
10005,11237,21,33,89,143
10005,11238,19,53,346,418
10005,11239,5,13,9,27
10005,11354,24,17,62,103
10005,11355,28,52,93,173
10005,11356,8,18,24,50
10005,11357,21,15,86,122
10005,11358,8,12,61,81
10005,11359,0,0,1,1
10005,11360,4,4,40,48
10005,11361,9,9,52,70
10005,11362,3,6,32,41
10005,11363,4,2,15,21
10005,11364,7,16,55,78
10005,11365,17,18,93,128
10005,11366,6,10,35,51
10005,11367,19,13,79,111
10005,11368,54,66,99,219
10005,11369,13,19,41,73
10005,11370,14,28,49,91
10005,11372,23,44,129,196
10005,11373,54,96,130,280
10005,11374,21,30,154,205
10005,11375,18,31,309,358
10005,11377,46,77,166,289
10005,11378,15,22,67,104
10005,11379,8,22,86,116
10005,11385,47,79,215,341
10005,11411,13,25,33,71
10005,11412,21,44,62,127
10005,11413,24,29,51,104
10005,11414,6,12,58,76
10005,11415,4,12,64,80
10005,11416,17,35,51,103
10005,11417,20,29,50,99
10005,11418,17,38,72,127
10005,11419,25,61,78,164
10005,11420,22,49,74,145
10005,11421,25,51,66,142
10005,11422,25,27,34,86
10005,11423,18,29,54,101
10005,11426,0,10,25,35
10005,11427,8,13,41,62
10005,11428,5,6,23,34
10005,11429,15,11,38,64
10005,11430,2,1,0,3
10005,11432,48,47,97,192
10005,11433,15,24,32,71
10005,11434,42,79,77,198
10005,11435,34,63,92,189
10005,11436,11,16,25,52
10005,11691,16,38,49,103
10005,11692,8,19,22,49
10005,11693,8,10,23,41
10005,11694,6,16,55,77
10005,11697,1,4,17,22
10006,10001,9,12,56,77
10006,10002,17,32,134,183
10006,10003,16,17,154,187
10006,10004,4,8,44,56
10006,10005,1,10,44,55
10006,10006,5,12,39,56
10006,10007,1,0,39,40
10006,10009,11,29,107,147
10006,10010,2,13,84,99
10006,10011,10,13,162,185
10006,10012,2,9,68,79
10006,10013,6,9,61,76
10006,10014,5,2,86,93
10006,10016,7,8,143,158
10006,10017,3,2,43,48
10006,10018,5,5,19,29
10006,10019,13,14,139,166
10006,10021,1,11,68,80
10006,10022,3,5,45,53
10006,10023,8,10,151,169
10006,10024,10,11,118,139
10006,10025,31,23,165,219
10006,10026,17,11,44,72
10006,10027,29,30,66,125
10006,10028,9,4,106,119
10006,10029,44,34,77,155
10006,10030,12,14,22,48
10006,10031,17,22,49,88
10006,10032,37,30,39,106
10006,10033,12,31,59,102
10006,10034,12,15,40,67
10006,10035,21,17,37,75
10006,10036,14,11,55,80
10006,10037,5,8,17,30
10006,10038,6,8,91,105
10006,10039,17,16,19,52
10006,10040,25,19,36,80
10006,10044,1,0,18,19
10006,10065,8,10,68,86
10006,10069,0,0,17,17
10006,10075,4,14,53,71
10006,10128,2,12,140,154
10006,10162,0,1,5,6
10006,10280,3,7,60,70
10006,10282,0,2,20,22
10006,10301,7,20,56,83
10006,10302,1,1,16,18
10006,10303,6,5,20,31
10006,10304,6,13,38,57
10006,10305,9,18,54,81
10006,10306,6,13,78,97
10006,10307,1,2,15,18
10006,10308,1,13,37,51
10006,10309,4,9,46,59
10006,10310,4,4,32,40
10006,10312,9,8,80,97
10006,10314,9,14,121,144
10006,10451,34,35,17,86
10006,10452,68,53,29,150
10006,10453,51,41,15,107
10006,10454,18,29,8,55
10006,10455,23,28,10,61
10006,10456,50,67,24,141
10006,10457,44,41,16,101
10006,10458,35,29,21,85
10006,10459,45,31,13,89
10006,10460,23,23,15,61
