O,D,time_minutes
11001,11363,41.0
11001,11364,32.0
11001,11365,39.0
11001,11366,47.0
11001,11367,59.0
11001,11368,73.0
11001,11369,97.0
11001,11370,100.0
11001,11371,106.0
11001,11372,81.0
11001,11373,71.0
11001,11374,68.0
11001,11375,66.0
11001,11377,78.0
11001,11378,92.0
11001,11379,88.0
11001,11385,100.0
11001,11411,41.0
11001,11412,55.0
11001,11413,58.0
11001,11414,106.0
11001,11415,73.0
11001,11416,62.0
11001,11417,95.0
11001,11418,57.0
11001,11419,56.0
11001,11420,88.0
11001,11421,48.0
11001,11422,65.0
11001,11423,30.0
11001,11426,9.0
11001,11427,17.0
11001,11428,25.0
11001,11429,29.0
11001,11430,81.0
11001,11432,42.0
11001,11433,54.0
11001,11434,65.0
11001,11435,50.0
11001,11436,58.0
11004,10001,88.0
11004,10002,98.0
11004,10003,76.0
11004,10004,104.0
11004,10005,99.0
11004,10006,99.0
11004,10007,95.0
11004,10009,103.0
11004,10010,90.0
11004,10011,80.0
11004,10012,81.0
11004,10013,91.0
11004,10014,94.0
11004,10016,99.0
11004,10017,75.0
11004,10018,86.0
11004,10019,76.0
11004,10020,63.0
11004,10021,73.0
11004,10022,60.0
11004,10023,90.0
11004,10024,108.0
11004,10025,95.0
11004,10026,97.0
11004,10027,90.0
11004,10028,83.0
11004,10029,98.0
11004,10030,104.0
11004,10031,105.0
11004,10032,106.0
11004,10033,110.0
11004,10034,115.0
11004,10035,99.0
11004,10036,86.0
11004,10037,106.0
11004,10038,104.0
11004,10039,109.0
11004,10040,116.0
11004,10041,103.0
11004,10043,105.0
11004,10044,61.0
11004,10045,98.0
11004,10047,75.0
11004,10048,96.0
11004,10055,61.0
11004,10065,68.0
11004,10069,103.0
11004,10075,85.0
11004,10080,95.0
11004,10081,99.0
11004,10096,64.0
11004,10097,68.0
11004,10103,63.0
11004,10104,62.0
11004,10105,59.0
11004,10106,64.0
11004,10107,66.0
11004,10110,66.0
11004,10111,65.0
11004,10112,62.0
11004,10115,99.0
11004,10118,71.0
11004,10119,74.0
11004,10120,70.0
11004,10121,74.0
11004,10122,73.0
11004,10123,71.0
11004,10128,92.0
11004,10151,59.0
11004,10152,60.0
11004,10153,59.0
11004,10154,72.0
11004,10155,57.0
11004,10158,94.0
11004,10162,92.0
11004,10165,71.0
11004,10166,71.0
11004,10167,70.0
11004,10168,68.0
11004,10169,70.0
11004,10170,68.0
11004,10171,69.0
11004,10172,70.0
11004,10174,68.0
11004,10178,68.0
11004,10196,62.0
11004,10203,101.0
11004,10259,97.0
11004,10260,98.0
11004,10265,105.0
11004,10270,105.0
11004,10271,98.0
11004,10275,103.0
11004,10278,98.0
11004,10279,92.0
11004,10280,107.0
11004,10281,102.0
11004,10282,102.0
11004,10285,97.0
11004,10286,103.0
11004,10301,157.0
11004,10302,154.0
11004,10303,174.0
11004,10304,124.0
11004,10305,125.0
11004,10306,149.0
11004,10307,176.0
11004,10308,154.0
11004,10309,176.0
11004,10310,154.0
11004,10312,163.0
11004,10314,151.0
11004,10451,104.0
11004,10452,111.0
11004,10453,112.0
11004,10454,104.0
11004,10455,108.0
11004,10456,116.0
11004,10457,113.0
11004,10458,117.0
11004,10459,113.0
11004,10460,103.0
11004,10461,114.0
11004,10462,113.0
11004,10463,132.0
11004,10464,147.0
11004,10465,95.0
11004,10466,125.0
11004,10467,134.0
11004,10468,115.0
11004,10469,118.0
11004,10470,135.0
11004,10471,158.0
11004,10472,114.0
11004,10473,124.0
11004,10474,114.0
11004,10475,111.0
11004,11001,17.0
11004,11004,0.0
11004,11005,15.0
11004,11040,11.0
11004,11096,94.0
11004,11101,68.0
11004,11102,81.0
11004,11103,84.0
11004,11104,80.0
11004,11105,101.0
11004,11106,83.0
11004,11109,83.0
11004,11201,108.0
11004,11203,121.0
11004,11204,137.0
11004,11205,97.0
11004,11206,90.0
11004,11207,69.0
11004,11208,77.0
11004,11209,120.0
11004,11210,131.0
11004,11211,89.0
11004,11212,105.0
11004,11213,118.0
11004,11214,124.0
11004,11215,113.0
11004,11216,63.0
11004,11217,72.0
11004,11218,121.0
11004,11219,120.0
11004,11220,125.0
11004,11221,99.0
11004,11222,86.0
11004,11223,130.0
11004,11224,133.0
11004,11225,99.0
11004,11226,113.0
11004,11228,129.0
11004,11229,125.0
11004,11230,122.0
11004,11231,114.0
11004,11232,119.0
11004,11233,75.0
11004,11234,107.0
11004,11235,118.0
11004,11236,117.0
11004,11237,99.0
11004,11238,115.0
11004,11239,121.0
11004,11249,102.0
11004,11251,112.0
11004,11354,69.0
11004,11355,54.0
11004,11356,85.0
11004,11357,58.0
11004,11358,56.0
11004,11359,71.0
11004,11360,68.0
11004,11361,51.0
11004,11362,24.0
11004,11363,41.0
11004,11364,33.0
11004,11365,39.0
11004,11366,32.0
11004,11367,54.0
11004,11368,72.0
11004,11369,90.0
11004,11370,95.0
11004,11371,102.0
11004,11372,70.0
11004,11373,57.0
11004,11374,48.0
11004,11375,55.0
11004,11377,71.0
11004,11378,83.0
11004,11379,91.0
11004,11385,94.0
11004,11411,47.0
11004,11412,52.0
11004,11413,74.0
11004,11414,102.0
11004,11415,54.0
11004,11416,79.0
11004,11417,90.0
11004,11418,59.0
11004,11419,70.0
11004,11420,76.0
11004,11421,65.0
11004,11422,83.0
11004,11423,43.0
11004,11426,17.0
11004,11427,25.0
11004,11428,32.0
11004,11429,38.0
11004,11430,90.0
11004,11432,42.0
11004,11433,57.0
11004,11434,71.0
11004,11435,58.0
11004,11436,74.0
11005,10001,92.0
11005,10002,105.0
11005,10003,99.0
11005,10004,110.0
11005,10005,110.0
11005,10006,108.0
11005,10007,100.0
11005,10009,113.0
11005,10010,107.0
11005,10011,93.0
11005,10012,98.0
11005,10013,98.0
11005,10014,100.0
11005,10016,106.0
11005,10017,90.0
11005,10018,91.0
11005,10019,89.0
11005,10020,75.0
11005,10021,86.0
11005,10022,73.0
11005,10023,101.0
11005,10024,94.0
11005,10025,102.0
11005,10026,99.0
11005,10027,98.0
11005,10028,90.0
11005,10029,98.0
11005,10030,113.0
11005,10031,111.0
11005,10032,114.0
11005,10033,118.0
11005,10034,121.0
11005,10035,107.0
11005,10036,91.0
11005,10037,104.0
11005,10038,110.0
11005,10039,113.0
11005,10040,134.0
11005,10041,99.0
11005,10043,97.0
11005,10044,68.0
11005,10045,96.0
11005,10047,102.0
11005,10048,103.0
11005,10055,73.0
11005,10065,74.0
11005,10069,97.0
11005,10075,104.0
11005,10080,102.0
11005,10081,109.0
11005,10096,77.0
11005,10097,80.0
11005,10103,75.0
11005,10104,74.0
11005,10105,72.0
11005,10106,76.0
11005,10107,79.0
11005,10110,78.0
11005,10111,77.0
11005,10112,74.0
11005,10115,102.0
11005,10118,84.0
11005,10119,90.0
11005,10120,82.0
11005,10121,86.0
11005,10122,85.0
11005,10123,83.0
11005,10128,98.0
11005,10151,71.0
11005,10152,73.0
11005,10153,72.0
11005,10154,80.0
11005,10155,69.0
11005,10158,102.0
11005,10162,98.0
11005,10165,84.0
11005,10166,84.0
11005,10167,83.0
11005,10168,76.0
11005,10169,82.0
11005,10170,76.0
11005,10171,81.0
11005,10172,83.0
11005,10174,76.0
11005,10178,77.0
11005,10196,74.0
11005,10203,107.0
11005,10259,107.0
11005,10260,92.0
11005,10265,94.0
11005,10270,93.0
11005,10271,107.0
11005,10275,109.0
11005,10278,107.0
11005,10279,99.0
11005,10280,101.0
11005,10281,100.0
11005,10282,96.0
11005,10285,106.0
11005,10286,109.0
11005,10301,164.0
11005,10302,166.0
11005,10303,185.0
11005,10304,138.0
11005,10305,140.0
11005,10306,155.0
11005,10307,180.0
11005,10308,166.0
11005,10309,185.0
11005,10310,161.0
11005,10312,175.0
11005,10314,158.0
11005,10451,112.0
11005,10452,117.0
11005,10453,134.0
11005,10454,110.0
11005,10455,115.0
11005,10456,132.0
11005,10457,135.0
11005,10458,134.0
11005,10459,124.0
11005,10460,114.0
11005,10461,126.0
11005,10462,125.0
11005,10463,130.0
11005,10464,160.0
11005,10465,107.0
11005,10466,138.0
11005,10467,130.0
11005,10468,129.0
11005,10469,126.0
11005,10470,142.0
11005,10471,166.0
11005,10472,116.0
11005,10473,126.0
11005,10474,128.0
11005,10475,123.0
11005,11001,30.0
11005,11004,13.0
11005,11005,0.0
11005,11040,18.0
11005,11096,97.0
11005,11101,80.0
11005,11102,88.0
11005,11103,97.0
11005,11104,81.0
11005,11105,108.0
11005,11106,89.0
11005,11109,91.0
11005,11201,99.0
11005,11203,133.0
11005,11204,132.0
11005,11205,110.0
11005,11206,97.0
11005,11207,78.0
11005,11208,95.0
11005,11209,133.0
11005,11210,138.0
11005,11211,93.0
11005,11212,137.0
11005,11213,132.0
11005,11214,136.0
11005,11215,125.0
11005,11216,72.0
11005,11217,81.0
11005,11218,126.0
11005,11219,128.0
11005,11220,133.0
11005,11221,90.0
11005,11222,91.0
11005,11223,136.0
11005,11224,128.0
11005,11225,127.0
11005,11226,137.0
11005,11228,141.0
11005,11229,138.0
11005,11230,134.0
11005,11231,123.0
11005,11232,126.0
11005,11233,84.0
11005,11234,117.0
11005,11235,131.0
11005,11236,129.0
11005,11237,97.0
11005,11238,121.0
11005,11239,134.0
11005,11249,99.0
11005,11251,124.0
11005,11354,84.0
11005,11355,64.0
11005,11356,88.0
11005,11357,64.0
11005,11358,62.0
11005,11359,84.0
11005,11360,70.0
11005,11361,54.0
11005,11362,33.0
11005,11363,43.0
11005,11364,39.0
11005,11365,49.0
11005,11366,42.0
11005,11367,65.0
11005,11368,82.0
11005,11369,96.0
11005,11370,105.0
11005,11371,114.0
11005,11372,82.0
11005,11373,69.0
11005,11374,72.0
11005,11375,66.0
11005,11377,76.0
11005,11378,95.0
11005,11379,98.0
